"","DocumentNumber","ItemYear","DateOfCapture","LocCode","SturgeonType","Fate","Length","RewardDisk","AddedST","CompleteTag","AddColTest"
"39147","D-0003527512-5",2012,2012-02-04,"03","White","kept",61,"FF1113","",TRUE,"add tag FF1113 to mark-recap database"
"46340","D-0006532839-6",2013,2013-02-02,"16","Unk","released",NA,"FF1289","",TRUE,"add tag FF1289 to mark-recap database"
"54031","D-0009690762-9",2014,2014-02-01,"18","Unk","released",NA,"FF1626","",TRUE,"add tag FF1626 to mark-recap database"
"45129","D-0006846626-8",2013,2013-04-07,"10","White","kept",50,"FF1740","",TRUE,"add tag FF1740 to mark-recap database"
"44772","D-0006854696-4",2013,2013-03-17,"03","Unk","released",NA,"FF1793","",TRUE,"add tag FF1793 to mark-recap database"
"31950","2634847",2011,2011-02-04,"18","Unk","released",NA,"FF1870","",TRUE,"add tag FF1870 to mark-recap database"
"30168","7526673",2011,2011-11-25,"17","White","kept",55,"FF1911","",TRUE,"add tag FF1911 to mark-recap database"
"40570","D-0006600035-0",2013,2013-01-02,"04","White","kept",55,"FF2026","",TRUE,"add tag FF2026 to mark-recap database"
"54047","D-0009635077-7",2014,2014-12-12,"18","White","kept",50,"FF2176","",TRUE,"add tag FF2176 to mark-recap database"
"62814","D-0012931856-5",2015,2015-12-28,"18","Unk","released",60,"FF2206","",TRUE,"add tag FF2206 to mark-recap database"
"57599","D-0012638034-7",2015,2015-10-24,"04","White","kept",41,"FF2268","",TRUE,"add tag FF2268 to mark-recap database"
"46176","D-0007115589-6",2013,2013-12-07,"03","Unk","released",NA,"FF370","",TRUE,"add tag FF370 to mark-recap database"
"62805","D-0012931856-5",2015,2015-12-17,"18","Unk","released",60,"HF2161","",TRUE,"add tag HF2161 to mark-recap database"
"30533","16640333",2011,2011-12-16,"3","White","released",NA,"HH1001","",TRUE,"add tag HH1001 to mark-recap database"
"32493","3775552",2011,2011-12-07,"Unknown","Unk","released",NA,"HH1001","",TRUE,"add tag HH1001 to mark-recap database"
"32509","29965146",2011,2011-12-16,"4","Unk","released",NA,"HH1001","",TRUE,"add tag HH1001 to mark-recap database"
"32510","29965146",2011,2011-12-20,"4","Unk","released",NA,"HH1001","",TRUE,"add tag HH1001 to mark-recap database"
"32511","29965146",2011,2011-12-21,"4","Unk","released",NA,"HH1001","",TRUE,"add tag HH1001 to mark-recap database"
"45206","D-0006609824-5",2013,2013-10-05,"20","White","kept",51,"HH1001","",TRUE,"add tag HH1001 to mark-recap database"
"24571","001587-11",2010,2010-01-29,"18","White","released",NA,"HH1241","",TRUE,"add tag HH1241 to mark-recap database"
"27020","003094-11",2010,2010-02-25,"19","White","released",NA,"HH1405","",TRUE,"add tag HH1405 to mark-recap database"
"23893","004315-05",2010,2010-12-10,"4","White","kept",58,"HH1462","",TRUE,"add tag HH1462 to mark-recap database"
"35018","D-0003419947-7",2012,2012-04-08,"09","Unk","released",45,"HH1548","",TRUE,"add tag HH1548 to mark-recap database"
"46339","D-0006532839-6",2013,2013-02-02,"16","White","kept",60,"HH1577","",TRUE,"add tag HH1577 to mark-recap database"
"57348","D-0012975598-6",2015,2015-02-03,"04","White","kept",58,"HH1659","",TRUE,"add tag HH1659 to mark-recap database"
"57219","D-0012784125-0",2015,2015-01-24,"18","Unk","released",NA,"HH1961","",TRUE,"add tag HH1961 to mark-recap database"
"37630","D-0003732254-6",2012,2012-03-26,"04","White","kept",50,"HH2017","",TRUE,"add tag HH2017 to mark-recap database"
"48352","D-0011266819-4",2014,2014-06-21,"13","Unk","released",43,"HH2218","",TRUE,"add tag HH2218 to mark-recap database"
"55431","D-0012700652-3",2015,2015-01-10,"03","White","kept",57,"HH2242","",TRUE,"add tag HH2242 to mark-recap database"
"40664","D-0007205072-3",2013,2013-04-27,"01C","White","kept",59,"ST11836","",TRUE,"add tag ST11836 to mark-recap database"
"22481","00208219",2010,2010-05-03,"18","White","kept",57,"ST11959","",TRUE,"add tag ST11959 to mark-recap database"
"41084","D-0006574414-1",2013,2013-02-19,"03","White","kept",57,"ST11998","*",TRUE,"add tag ST11998 to mark-recap database"
"31809","3842142",2011,2011-12-14,"3","Unk","released",NA,"ST12137","",TRUE,"add tag ST12137 to mark-recap database"
"45994","D-0006788663-4",2013,2013-04-06,"09","White","kept",50,"ST12294","",TRUE,"add tag ST12294 to mark-recap database"
"38427","D-0003530359-8",2012,2012-01-24,"03","White","kept",52,"ST12301","*",TRUE,"add tag ST12301 to mark-recap database"
"27850","2194602",2011,2011-05-21,"16","White","released",NA,"ST12421","*",TRUE,"add tag ST12421 to mark-recap database"
"27477","378173-9",2011,2011-11-25,"4","White","kept",60,"ST12520","*",TRUE,"add tag ST12520 to mark-recap database"
"25752","001846-14",2010,2010-11-12,"4","White","released",NA,"ST12700","",TRUE,"add tag ST12700 to mark-recap database"
"29344","4437581",2011,2011-12-11,"3","White","released",NA,"ST12700","",TRUE,"add tag ST12700 to mark-recap database"
"36185","D-0003563758-7",2012,2012-12-08,"16","Unk","released",NA,"ST12777","*",TRUE,"add tag ST12777 to mark-recap database"
"51214","D-0009645196-0",2014,2014-12-27,"04","Unk","released",NA,"ST12954","",TRUE,"add tag ST12954 to mark-recap database"
"38521","D-0003458885-1",2012,2012-05-21,"10","White","kept",52,"ST13002","*",TRUE,"add tag ST13002 to mark-recap database"
"45983","D-0006974871-2",2013,2013-03-17,"10","White","kept",54,"ST13056","*",TRUE,"add tag ST13056 to mark-recap database"
"39282","D-0003533243-3",2012,2012-03-28,"03","White","kept",66,"ST13077","*",TRUE,"add tag ST13077 to mark-recap database"
"34299","D-0003413465-6",2012,2012-04-28,"18","Unk","released",NA,"ST13131","*",TRUE,"add tag ST13131 to mark-recap database"
"30244","5768578",2011,2011-11-12,"4","White","kept",60,"ST13157","",TRUE,"add tag ST13157 to mark-recap database"
"54043","D-0009938391-2",2014,2014-10-31,"04","White","kept",41,"ST13234","",TRUE,"add tag ST13234 to mark-recap database"
"62736","D-0012690242-6",2015,2015-04-15,"04","White","kept",43,"ST13234","",TRUE,"add tag ST13234 to mark-recap database"
"48842","D-0011675290-1",2014,2014-12-05,"18","Unk","released",NA,"ST13254","*",TRUE,"add tag ST13254 to mark-recap database"
